"","","","","","","","","","","","","",""
"1","Model","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2","Acura ILX","1","1","0","0","0","0","0","0","0","0","0","0"
"3","Acura Integra","2,191","2,503","3,012","3,394","2,806","2,608","2,742","2,794","2,784","2,336","2,259","2,661"
"4","Acura MDX","4,455","4,692","6,076","5,758","5,935","5,048","4,397","4,172","4,386","3,638","4,074","4,968"
"5","Acura NSX","3","1","1","0","0","0","0","0","0","0","0","0"
"6","Acura RDX","1,848","2,090","2,871","2,573","2,791","3,502","3,292","3,962","4,273","4,200","3,692","4,134"
"7","Acura TLX","990","1,121","1,609","1,576","2,173","2,013","1,631","1,231","1,229","980","1,085","1,093"
"8","Alfa Romeo Giulia","318","305","343","292","281","292","277","299","288","252","252","262"
"9","Alfa Romeo Stelvio","468","450","506","448","431","448","410","443","427","430","430","447"
"10","Alfa Romeo Tonale","0","0","0","40","38","40","239","258","249","406","406","422"
"11","Audi A3","1,338","1,285","1,445","1,267","1,219","1,267","900","972","936","986","986","1,025"
"12","Audi A4","1,723","1,654","1,681","1,063","1,022","1,063","808","873","840","869","869","904"
"13","Audi A5","1,841","1,768","1,989","2,248","2,162","2,278","1,935","2,090","2,012","1,804","1,804","1,876"
"14","Audi A6","653","627","705","518","498","518","762","823","793","796","796","828"
"15","Audi A7","179","172","193","105","101","105","121","131","126","189","189","197"
"16","Audi A8","128","123","138","187","180","187","247","267","258","179","179","186"
"17","Audi e-Tron GT","239","229","258","358","344","358","204","221","213","256","256","266"
"18","Audi e-Tron Sportback","159","152","374","107","103","107","1,749","3","3","0","0","0"
"19","Audi eTron","346","333","171","223","214","223","5","5","5","0","0","0"
"20","Audi Q3","1,268","1,217","1,370","1,712","1,646","1,712","0","1,889","1,819","2,568","2,568","2,671"
"21","Audi Q4 e-tron","551","529","595","656","631","656","784","847","815","685","685","712"
"22","Audi Q4 e-tron Sportback","165","159","179","187","180","187","267","289","278","236","236","245"
"23","Audi Q5","5,620","5,395","6,070","6,164","5,927","6,164","6,207","6,703","6,455","6,394","6,394","6,650"
"24","Audi Q6","0","0","0","0","0","0","0","0","0","0","2,462","0"
"25","Audi Q7","2,112","2,028","2,281","2,318","2,229","2,318","2,616","2,825","2,721","2,462","0","2,560"
"26","Audi Q8","941","903","1,016","1,175","1,130","1,175","1,189","1,284","1,236","1,151","1,151","1,197"
"27","Audi Q8 e-Tron","0","0","0","263","253","263","881","951","916","299","962","1,001"
"28","Audi Q8 Sportback e-tron","0","0","0","115","110","115","0","294","283","0","299","311"
"29","Audi R8","32","31","34","30","29","30","61","65","63","84","84","87"
"30","Audi TT","60","58","65","70","68","70","71","77","74","37","37","38"
"31","BMW 2-Series","455","437","491","947","911","947","1,005","1,085","1,045","1,413","1,413","1,470"
